Date,AMZN-Close/Last,AMZN-Volume,AMZN-Open,AMZN-High,AMZN-Low,AAL-Close/Last,AAL-Volume,AAL-Open,AAL-High,AAL-Low,MAR-Close/Last,MAR-Volume,MAR-Open,MAR-High,MAR-Low,NFLX-Close/Last,NFLX-Volume,NFLX-Open,NFLX-High,NFLX-Low
06/25/2020,2754.58,2968657,2739.55,2756.23,2712.14,13.17,117383400,12.53,13.24,12.18,84.04,5210944,83.59,84.56,82.12,465.91,4134513,458.86,467.01,454
06/24/2020,2734.4,4526605,2780,2796,2721,13.04,140975500,13.59,13.9,12.83,85,6403929,89.33,89.52,83.88,457.85,4826191,468.54,472.36,454
06/23/2020,2764.41,4231707,2726.02,2783.11,2718.04,14,204022300,13.76,14.29,13.71,90.62,5829178,91,91.49,88.83,466.26,5948436,466.5,474.01,464.5
06/22/2020,2713.82,3208780,2684.5,2715,2669,14.92,118994500,14.9,15.52,14.72,90.18,4588838,89.5,91,88.28,468.04,6272105,455.01,468.59,454.21
06/19/2020,2675.01,5776963,2678.08,2697.43,2659,16,92320180,16.89,16.94,15.415,89.68,4880572,93.905,94.13,88.66,453.72,5933651,449.12,453.97,445.6
06/18/2020,2653.98,2487774,2647.01,2659.64,2636.11,16.49,64265330,16.37,17.07,16.28,92.75,3746910,90.5,94.18,90.17,449.87,4277627,448.73,452.76,442.8
06/17/2020,2640.98,2959316,2647.5,2655,2631.82,16.98,71706660,16.76,17.045,16.155,91.13,4423063,93.52,94,90.8023,447.77,6529568,441.82,450.46,439.22
06/16/2020,2615.27,3595649,2620,2620,2576,17.03,127369700,18.36,18.44,16.55,93.99,6197188,96.34,96.4,90.7,436.13,5514016,425.76,437.96,425.18
06/15/2020,2572.68,3873335,2526.6,2584,2508.0001,16.7,122904100,15.27,17.17,15.08,90.79,9052926,88,92.33,86.79,425.5,4471499,421.4,426.49,415.4238
06/12/2020,2545.02,5436127,2601.21,2621.4766,2503.35,16.74,161101800,16.82,17.31,15.67,92.26,7108265,97.61,97.76,90.07,418.07,6461127,429,434.06,412.45
06/11/2020,2557.96,5800107,2603.5,2671.38,2536.23,14.38,124220800,14.61,15.68,14.07,91.44,7614102,95.05,96.5,90.61,425.56,7462868,428.2,445.57,424.1601
06/10/2020,2647.45,4946031,2645,2722.35,2626.26,17.02,163952500,17.69,18.16,15.9201,102.62,5641982,106.03,106.65,100.05,434.48,4896893,436,439.69,430.55
06/09/2020,2600.86,5175950,2529.44,2626.43,2525,18.55,111234400,18.45,18.97,17.61,107.32,4008725,109.799,110.5,106.31,434.05,6796999,421.65,434.73,420.31
06/08/2020,2524.06,3970654,2500.2,2530,2487.335,20.31,175418900,19.86,20.36,19.13,113.14,6056216,113.46,114.46,110.51,419.49,5851453,416,420.8,406.5
